TEAM : Ecuador,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
21,3MF,Nicola Zalewski,(2002-01-23)23 January 2002 (aged 20),7,0,Roma
22,1GK,Kamil Grabara,(1999-01-08)8 January 1999 (aged 23),1,0,Copenhagen
23,4FW,Krzysztof Piątek,(1995-07-01)1 July 1995 (aged 27),25,11,Salernitana
24,3MF,Przemysław Frankowski,(1995-04-12)12 April 1995 (aged 27),26,1,Lens
25,2DF,Robert Gumny,(1998-06-04)4 June 1998 (aged 24),5,0,FC Augsburg
26,3MF,Michał Skóraś,(2000-02-15)15 February 2000 (aged 22),1,0,Lech Poznań
,,,,,,
TEAM : Saudi Arabia,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Mohammed Al-Rubaie,(1997-08-14)14 August 1997 (aged 25),7,0,Al-Ahli
2,2DF,Sultan Al-Ghannam,(1994-05-06)6 May 1994 (aged 28),24,0,Al-Nassr
3,2DF,Abdullah Madu,(1993-07-15)15 July 1993 (aged 29),15,0,Al-Nassr
4,2DF,Abdulelah Al-Amri,(1997-01-15)15 January 1997 (aged 25),20,1,Al-Nassr
5,2DF,Ali Al-Bulaihi,(1989-11-21)21 November 1989 (aged 32),37,0,Al-Hilal
6,2DF,Mohammed Al-Breik,(1992-09-15)15 September 1992 (aged 30),40,1,Al-Hilal
7,3MF,Salman Al-Faraj*(captain)*,(1989-08-01)1 August 1989 (aged 33),70,8,Al-Hilal
8,3MF,Abdulellah Al-Malki,(1994-10-11)11 October 1994 (aged 28),27,0,Al-Hilal
9,4FW,Firas Al-Buraikan,(2000-05-14)14 May 2000 (aged 22),26,6,Al-Fateh
10,4FW,Salem Al-Dawsari,(1991-08-19)19 August 1991 (aged 31),71,17,Al-Hilal
11,4FW,Saleh Al-Shehri,(1993-11-01)1 November 1993 (aged 29),20,10,Al-Hilal
12,2DF,Saud Abdulhamid,(1999-07-18)18 July 1999 (aged 23),23,1,Al-Hilal
13,2DF,Yasser Al-Shahrani,(1992-05-25)25 May 1992 (aged 30),72,2,Al-Hilal
14,3MF,Abdullah Otayf,(1992-08-03)3 August 1992 (aged 30),45,1,Al-Hilal
15,3MF,Ali Al-Hassan,(1997-03-04)4 March 1997 (aged 25),13,1,Al-Nassr
16,3MF,Sami Al-Najei,(1997-02-07)7 February 1997 (aged 25),17,2,Al-Nassr
17,2DF,Hassan Al-Tambakti,(1999-02-09)9 February 1999 (aged 23),19,0,Al-Shabab
18,3MF,Nawaf Al-Abed,(1990-01-26)26 January 1990 (aged 32),55,8,Al-Shabab
19,4FW,Hattan Bahebri,(1992-07-16)16 July 1992 (aged 30),41,4,Al-Shabab
20,4FW,Abdulrahman Al-Aboud,(1995-06-01)1 June 1995 (aged 27),3,0,Al-Ittihad
21,1GK,Mohammed Al-Owais,(1991-10-10)10 October 1991 (aged 31),42,0,Al-Hilal
22,1GK,Nawaf Al-Aqidi,(2000-05-10)10 May 2000 (aged 22),0,0,Al-Nassr
23,3MF,Mohamed Kanno,(1994-09-22)22 September 1994 (aged 28),38,1,Al-Hilal
24,3MF,Nasser Al-Dawsari,(1998-12-19)19 December 1998 (aged 23),10,0,Al-Hilal
25,4FW,Haitham Asiri,(2001-03-25)25 March 2001 (aged 21),8,1,Al-Ahli
26,3MF,Riyadh Sharahili,(1993-04-28)28 April 1993 (aged 29),5,0,Abha
,,,,,,
TEAM : Australia,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Mathew Ryan*(captain)*,(1992-04-08)8 April 1992 (aged 30),75,0,Copenhagen
2,2DF,Miloš Degenek,(1994-04-28)28 April 1994 (aged 28),38,1,Columbus Crew
3,2DF,Nathaniel Atkinson,(1999-06-13)13 June 1999 (aged 23),5,0,Heart of Midlothian
4,2DF,Kye Rowles,(1998-06-24)24 June 1998 (aged 24),3,0,Heart of Midlothian
5,2DF,Fran Karačić,(1996-05-12)12 May 1996 (aged 26),11,1,Brescia
6,4FW,Marco Tilio,(2001-08-23)23 August 2001 (aged 21),5,0,Melbourne City
7,4FW,Mathew Leckie,(1991-02-04)4 February 1991 (aged 31),73,13,Melbourne City
8,2DF,Bailey Wright,(1992-07-28)28 July 1992 (aged 30),27,2,Sunderland
9,4FW,Jamie Maclaren,(1993-07-29)29 July 1993 (aged 29),26,8,Melbourne City
10,3MF,Ajdin Hrustic,(1996-07-05)5 July 1996 (aged 26),20,3,Hellas Verona
11,4FW,Awer Mabil,(1995-09-15)15 September 1995 (aged 27),29,8,Cádiz
12,1GK,Andrew Redmayne,(1989-01-13)13 January 1989 (aged 33),4,0,Sydney FC
13,3MF,Aaron Mooy,(1990-09-15)15 September 1990 (aged 32),53,7,Celtic
14,3MF,Riley McGree,(1998-11-02)2 November 1998 (aged 24),11,1,Middlesbrough
15,4FW,Mitchell Duke,(1991-01-18)18 January 1991 (aged 31),21,8,Fagiano Okayama
16,2DF,Aziz Behich,(1990-12-16)16 December 1990 (aged 31),53,2,Dundee United
17,3MF,Cameron Devlin,(1998-06-07)7 June 1998 (aged 24),1,0,Heart of Midlothian
18,1GK,Danny Vukovic,(1985-03-27)27 March 1985 (aged 37),4,0,Central Coast Mariners
19,2DF,Harry Souttar,(1998-10-22)22 October 1998 (aged 24),10,6,Stoke City
20,2DF,Thomas Deng,(1997-03-20)20 March 1997 (aged 25),2,0,Albirex Niigata
21,4FW,Garang Kuol,(2004-09-15)15 September 2004 (aged 18),1,0,Central Coast Mariners
22,3MF,Jackson Irvine,(1993-03-07)7 March 1993 (aged 29),49,7,FC St. Pauli
23,4FW,Craig Goodwin,(1991-12-16)16 December 1991 (aged 30),10,1,Adelaide United
24,2DF,Joel King,(2000-10-30)30 October 2000 (aged 22),4,0,OB
25,4FW,Jason Cummings,(1995-08-01)1 August 1995 (aged 27),1,1,Central Coast Mariners
26,3MF,Keanu Baccus,(1998-06-07)7 June 1998 (aged 24),1,0,St Mirren
,,,,,,
TEAM : Denmark,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Kasper Schmeichel,(1986-11-05)5 November 1986 (aged 36),86,0,Nice
2,2DF,Joachim Andersen,(1996-05-31)31 May 1996 (aged 26),19,0,Crystal Palace
3,2DF,Victor Nelsson,(1998-10-14)14 October 1998 (aged 24),7,0,Galatasaray
4,2DF,Simon Kjær*(captain)*,(1989-03-26)26 March 1989 (aged 33),121,5,Milan
5,2DF,Joakim Mæhle,(1997-05-20)20 May 1997 (aged 25),31,9,Atalanta
6,2DF,Andreas Christensen,(1996-04-10)10 April 1996 (aged 26),58,2,Barcelona
7,3MF,Mathias Jensen,(1996-01-01)1 January 1996 (aged 26),20,1,Brentford
8,3MF,Thomas Delaney,(1991-09-03)3 September 1991 (aged 31),71,7,Sevilla
9,4FW,Martin Braithwaite,(1991-06-05)5 June 1991 (aged 31),62,10,Espanyol
10,3MF,Christian Eriksen,(1992-02-14)14 February 1992 (aged 30),117,39,Manchester United
11,3MF,Andreas Skov Olsen,(1999-12-29)29 December 1999 (aged 22),23,8,Club Brugge
12,4FW,Kasper Dolberg,(1997-10-06)6 October 1997 (aged 25),37,11,Sevilla
13,2DF,Rasmus Kristensen,(1997-07-11)11 July 1997 (aged 25),10,0,Leeds United
14,3MF,Mikkel Damsgaard,(2000-07-03)3 July 2000 (aged 22),18,4,Brentford
15,3MF,Christian Nørgaard,(1994-03-10)10 March 1994 (aged 28),17,1,Brentford
16,1GK,Oliver Christensen,(1999-03-22)22 March 1999 (aged 23),1,0,Hertha BSC
17,2DF,Jens Stryger Larsen,(1991-02-21)21 February 1991 (aged 31),49,3,Trabzonspor
18,2DF,Daniel Wass,(1989-05-31)31 May 1989 (aged 33),44,1,Brøndby
19,4FW,Jonas Wind,(1999-02-07)7 February 1999 (aged 23),15,5,VfL Wolfsburg
20,4FW,Yussuf Poulsen,(1994-06-15)15 June 1994 (aged 28),68,11,RB Leipzig
21,4FW,Andreas Cornelius,(1993-03-16)16 March 1993 (aged 29),41,9,Copenhagen
22,1GK,Frederik Rønnow,(1992-08-04)4 August 1992 (aged 30),8,0,Union Berlin
23,3MF,Pierre-Emile Højbjerg,(1995-08-05)5 August 1995 (aged 27),60,5,Tottenham Hotspur
24,3MF,Robert Skov,(1996-05-20)20 May 1996 (aged 26),11,5,1899 Hoffenheim
25,3MF,Jesper Lindstrøm,(2000-02-29)29 February 2000 (aged 22),6,1,Eintracht Frankfurt
26,2DF,Alexander Bah,(1997-12-09)9 December 1997 (aged 24),4,1,Benfica
,,,,,,
TEAM : France,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Hugo Lloris*(captain)*,(1986-12-26)26 December 1986 (aged 35),139,0,Tottenham Hotspur
2,2DF,Benjamin Pavard,(1996-03-28)28 March 1996 (aged 26),46,2,Bayern Munich
3,2DF,Axel Disasi,(1998-03-11)11 March 1998 (aged 24),0,0,Monaco
4,2DF,Raphaël Varane,(1993-04-25)25 April 1993 (aged 29),87,5,Manchester United
5,2DF,Jules Koundé,(1998-11-12)12 November 1998 (aged 24),12,0,Barcelona
6,3MF,Matteo Guendouzi,(1999-04-14)14 April 1999 (aged 23),6,1,Marseille
7,4FW,Antoine Griezmann,(1991-03-21)21 March 1991 (aged 31),110,42,Atlético Madrid
8,3MF,Aurélien Tchouaméni,(2000-01-27)27 January 2000 (aged 22),14,1,Real Madrid
9,4FW,Olivier Giroud,(1986-09-30)30 September 1986 (aged 36),114,49,Milan
10,4FW,Kylian Mbappé,(1998-12-20)20 December 1998 (aged 23),59,28,Paris Saint-Germain
11,4FW,Ousmane Dembélé,(1997-05-15)15 May 1997 (aged 25),28,4,Barcelona
12,4FW,Randal Kolo Muani,(1998-12-05)5 December 1998 (aged 23),2,0,Eintracht Frankfurt
13,3MF,Youssouf Fofana,(1999-01-10)10 January 1999 (aged 23),2,0,Monaco
14,3MF,Adrien Rabiot,(1995-04-03)3 April 1995 (aged 27),29,2,Juventus
15,3MF,Jordan Veretout,(1993-03-01)1 March 1993 (aged 29),5,0,Marseille
16,1GK,Steve Mandanda,(1985-03-28)28 March 1985 (aged 37),34,0,Rennes
17,2DF,William Saliba,(2001-03-24)24 March 2001 (aged 21),7,0,Arsenal
18,2DF,Dayot Upamecano,(1998-10-27)27 October 1998 (aged 24),7,1,Bayern Munich
19,4FW,Karim Benzema,(1987-12-19)19 December 1987 (aged 34),97,37,Real Madrid
20,4FW,Kingsley Coman,(1996-06-13)13 June 1996 (aged 26),40,5,Bayern Munich
21,2DF,Lucas Hernandez,(1996-02-14)14 February 1996 (aged 26),32,0,Bayern Munich
22,2DF,Théo Hernandez,(1997-10-06)6 October 1997 (aged 25),7,1,Milan
23,1GK,Alphonse Areola,(1993-02-27)27 February 1993 (aged 29),5,0,West Ham United
24,2DF,Ibrahima Konaté,(1999-05-25)25 May 1999 (aged 23),2,0,Liverpool
25,3MF,Eduardo Camavinga,(2002-11-10)10 November 2002 (aged 20),4,1,Real Madrid
26,4FW,Marcus Thuram,(1997-08-06)6 August 1997 (aged 25),4,0,Borussia Mönchengladbach
,,,,,,
"TEAM :Tunisia
",,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Aymen Mathlouthi,(1984-09-14)14 September 1984 (aged 38),73,0,Étoile du Sahel
2,2DF,Bilel Ifa,(1990-03-09)9 March 1990 (aged 32),37,0,Kuwait SC
3,2DF,Montassar Talbi,(1998-05-26)26 May 1998 (aged 24),23,1,Lorient
4,2DF,Yassine Meriah,(1993-07-02)2 July 1993 (aged 29),61,3,Espérance de Tunis
5,3MF,Nader Ghandri,(1995-02-18)18 February 1995 (aged 27),8,0,Club Africain
6,2DF,Dylan Bronn,(1995-06-19)19 June 1995 (aged 27),36,2,Salernitana
7,4FW,Youssef Msakni*(captain)*,(1990-10-28)28 October 1990 (aged 32),88,17,Al-Arabi
8,3MF,Hannibal Mejbri,(2003-01-21)21 January 2003 (aged 19),19,0,Birmingham City
9,4FW,Issam Jebali,(1991-12-25)25 December 1991 (aged 30),10,2,OB
10,4FW,Wahbi Khazri,(1991-02-08)8 February 1991 (aged 31),72,24,Montpellier
11,4FW,Taha Yassine Khenissi,(1992-01-06)6 January 1992 (aged 30),48,9,Kuwait SC
12,2DF,Ali Maâloul,(1990-01-01)1 January 1990 (aged 32),83,2,Al Ahly
13,3MF,Ferjani Sassi,(1992-03-18)18 March 1992 (aged 30),78,6,Al-Duhail
14,3MF,Aïssa Laïdouni,(1996-12-13)13 December 1996 (aged 25),25,1,Ferencváros
15,3MF,Mohamed Ali Ben Romdhane,(1999-09-06)6 September 1999 (aged 23),23,1,Espérance de Tunis
16,1GK,Aymen Dahmen,(1997-01-28)28 January 1997 (aged 25),5,0,CS Sfaxien
17,3MF,Ellyes Skhiri,(1995-05-10)10 May 1995 (aged 27),49,3,1. FC Köln
18,3MF,Ghailene Chaalali,(1994-02-28)28 February 1994 (aged 28),31,1,Espérance de Tunis
19,4FW,Seifeddine Jaziri,(1993-02-12)12 February 1993 (aged 29),29,10,Zamalek
20,2DF,Mohamed Dräger,(1996-06-25)25 June 1996 (aged 26),34,3,Luzern
21,2DF,Wajdi Kechrida,(1995-11-05)5 November 1995 (aged 27),19,0,Atromitos
22,1GK,Bechir Ben Saïd,(1992-11-29)29 November 1992 (aged 29),10,0,US Monastir
23,4FW,Naïm Sliti,(1992-07-27)27 July 1992 (aged 30),69,14,Al-Ettifaq
24,2DF,Ali Abdi,(1993-12-20)20 December 1993 (aged 28),10,2,Caen
25,4FW,Anis Ben Slimane,(2001-03-16)16 March 2001 (aged 21),25,4,Brøndby
26,1GK,Mouez Hassen,(1995-03-05)5 March 1995 (aged 27),20,0,Club Africain
,,,,,,
TEAM : Costa Rica,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Keylor Navas,(1986-12-15)15 December 1986 (aged 35),107,0,Paris Saint-Germain
2,3MF,Daniel Chacón,(2001-04-11)11 April 2001 (aged 21),8,0,Cartaginés
3,2DF,Juan Pablo Vargas,(1995-06-06)6 June 1995 (aged 27),12,1,Millonarios
4,2DF,Keysher Fuller,(1994-07-12)12 July 1994 (aged 28),31,2,Herediano
5,3MF,Celso Borges,(1988-05-27)27 May 1988 (aged 34),155,27,Alajuelense
6,2DF,Óscar Duarte,(1989-06-03)3 June 1989 (aged 33),71,4,Al-Wehda
7,4FW,Anthony Contreras,(2000-01-29)29 January 2000 (aged 22),9,2,Herediano
8,2DF,Bryan Oviedo,(1990-02-18)18 February 1990 (aged 32),76,2,Real Salt Lake
9,3MF,Jewison Bennette,(2004-06-15)15 June 2004 (aged 18),7,2,Sunderland
10,3MF,Bryan Ruiz*(captain)*,(1985-08-18)18 August 1985 (aged 37),146,29,Alajuelense
11,4FW,Johan Venegas,(1988-11-27)27 November 1988 (aged 33),82,11,Alajuelense
12,4FW,Joel Campbell,(1992-06-26)26 June 1992 (aged 30),119,25,León
13,3MF,Gerson Torres,(1997-08-28)28 August 1997 (aged 25),13,1,Herediano
14,3MF,Youstin Salas,(1996-06-17)17 June 1996 (aged 26),4,0,Saprissa
15,2DF,Francisco Calvo,(1992-07-08)8 July 1992 (aged 30),75,8,Konyaspor
16,2DF,Carlos Martínez,(1999-03-30)30 March 1999 (aged 23),7,0,San Carlos
17,3MF,Yeltsin Tejeda,(1992-03-17)17 March 1992 (aged 30),73,0,Herediano
18,1GK,Esteban Alvarado,(1989-04-28)28 April 1989 (aged 33),25,0,Herediano
19,2DF,Kendall Waston,(1988-01-01)1 January 1988 (aged 34),63,9,Saprissa
20,3MF,Brandon Aguilera,(2003-06-28)28 June 2003 (aged 19),4,0,Guanacasteca
21,3MF,Douglas López,(1998-09-21)21 September 1998 (aged 24),3,0,Herediano
22,2DF,Rónald Matarrita,(1994-07-09)9 July 1994 (aged 28),52,3,FC Cincinnati
23,1GK,Patrick Sequeira,(1999-03-01)1 March 1999 (aged 23),2,0,Lugo
24,3MF,Roan Wilson,(2002-05-01)1 May 2002 (aged 20),3,0,Municipal Grecia
25,3MF,Anthony Hernández,(2001-10-11)11 October 2001 (aged 21),3,1,Puntarenas
26,3MF,Álvaro Zamora,(2002-03-09)9 March 2002 (aged 20),3,0,Saprissa
,,,,,,
TEAM : Germany,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Manuel Neuer*(captain)*,(1986-03-27)27 March 1986 (aged 36),114,0,Bayern Munich
2,2DF,Antonio Rüdiger,(1993-03-03)3 March 1993 (aged 29),54,2,Real Madrid
3,2DF,David Raum,(1998-04-22)22 April 1998 (aged 24),12,0,RB Leipzig
4,2DF,Matthias Ginter,(1994-01-19)19 January 1994 (aged 28),47,2,SC Freiburg
5,2DF,Thilo Kehrer,(1996-09-21)21 September 1996 (aged 26),23,0,West Ham United
6,3MF,Joshua Kimmich,(1995-02-08)8 February 1995 (aged 27),71,5,Bayern Munich
7,4FW,Kai Havertz,(1999-06-11)11 June 1999 (aged 23),31,10,Chelsea
8,3MF,Leon Goretzka,(1995-02-06)6 February 1995 (aged 27),45,14,Bayern Munich
9,4FW,Niclas Füllkrug,(1993-02-09)9 February 1993 (aged 29),1,1,Werder Bremen
10,4FW,Serge Gnabry,(1995-07-14)14 July 1995 (aged 27),36,20,Bayern Munich
11,3MF,Mario Götze,(1992-06-03)3 June 1992 (aged 30),63,17,Eintracht Frankfurt
12,1GK,Kevin Trapp,(1990-07-08)8 July 1990 (aged 32),6,0,Eintracht Frankfurt
13,3MF,Thomas Müller,(1989-09-13)13 September 1989 (aged 33),118,44,Bayern Munich
14,3MF,Jamal Musiala,(2003-02-26)26 February 2003 (aged 19),17,1,Bayern Munich
15,2DF,Niklas Süle,(1995-09-03)3 September 1995 (aged 27),42,1,Borussia Dortmund
16,2DF,Lukas Klostermann,(1996-06-03)3 June 1996 (aged 26),19,0,RB Leipzig
17,3MF,Julian Brandt,(1996-05-02)2 May 1996 (aged 26),39,3,Borussia Dortmund
18,3MF,Jonas Hofmann,(1992-07-14)14 July 1992 (aged 30),17,4,Borussia Mönchengladbach
19,3MF,Leroy Sané,(1996-01-11)11 January 1996 (aged 26),48,11,Bayern Munich
20,2DF,Christian Günter,(1993-02-28)28 February 1993 (aged 29),7,0,SC Freiburg
21,3MF,İlkay Gündoğan,(1990-10-24)24 October 1990 (aged 32),63,16,Manchester City
22,1GK,Marc-André ter Stegen,(1992-04-30)30 April 1992 (aged 30),30,0,Barcelona
23,2DF,Nico Schlotterbeck,(1999-12-01)1 December 1999 (aged 22),6,0,Borussia Dortmund
24,4FW,Karim Adeyemi,(2002-01-18)18 January 2002 (aged 20),4,1,Borussia Dortmund
25,2DF,Armel Bella-Kotchap,(2001-12-11)11 December 2001 (aged 20),2,0,Southampton
26,4FW,Youssoufa Moukoko,(2004-11-20)20 November 2004 (aged 18),1,0,Borussia Dortmund
,,,,,,
TEAM : Japan,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Eiji Kawashima,(1983-03-20)20 March 1983 (aged 39),95,0,Strasbourg
2,2DF,Miki Yamane,(1993-12-22)22 December 1993 (aged 28),15,2,Kawasaki Frontale
3,2DF,Shogo Taniguchi,(1991-07-15)15 July 1991 (aged 31),14,0,Kawasaki Frontale
4,2DF,Ko Itakura,(1997-01-27)27 January 1997 (aged 25),13,1,Borussia Mönchengladbach
5,2DF,Yuto Nagatomo,(1986-09-12)12 September 1986 (aged 36),138,4,FC Tokyo
6,3MF,Wataru Endo,(1993-02-09)9 February 1993 (aged 29),43,2,VfB Stuttgart
7,3MF,Gaku Shibasaki,(1992-05-28)28 May 1992 (aged 30),60,3,Leganés
8,3MF,Ritsu Dōan,(1998-06-16)16 June 1998 (aged 24),29,3,SC Freiburg
9,3MF,Kaoru Mitoma,(1997-05-20)20 May 1997 (aged 25),9,5,Brighton & Hove Albion
10,3MF,Takumi Minamino,(1995-01-16)16 January 1995 (aged 27),44,17,Monaco
11,3MF,Takefusa Kubo,(2001-06-04)4 June 2001 (aged 21),20,1,Real Sociedad
12,1GK,Shūichi Gonda,(1989-03-03)3 March 1989 (aged 33),34,0,Shimizu S-Pulse
13,3MF,Hidemasa Morita,(1995-05-10)10 May 1995 (aged 27),17,2,Sporting CP
14,3MF,Junya Ito,(1993-03-09)9 March 1993 (aged 29),38,9,Reims
15,3MF,Daichi Kamada,(1996-08-05)5 August 1996 (aged 26),22,6,Eintracht Frankfurt
16,2DF,Takehiro Tomiyasu,(1998-11-05)5 November 1998 (aged 24),29,1,Arsenal
17,3MF,Ao Tanaka,(1998-09-10)10 September 1998 (aged 24),15,2,Fortuna Düsseldorf
18,4FW,Takuma Asano,(1994-11-10)10 November 1994 (aged 28),37,7,VfL Bochum
19,2DF,Hiroki Sakai,(1990-04-12)12 April 1990 (aged 32),72,1,Urawa Red Diamonds
20,4FW,Shuto Machino,(1999-09-30)30 September 1999 (aged 23),4,3,Shonan Bellmare
21,4FW,Ayase Ueda,(1998-08-28)28 August 1998 (aged 24),11,0,Cercle Brugge
22,2DF,Maya Yoshida*(captain)*,(1988-08-24)24 August 1988 (aged 34),122,12,Schalke 04
23,1GK,Daniel Schmidt,(1992-02-03)3 February 1992 (aged 30),11,0,Sint-Truiden
24,3MF,Yuki Soma,(1997-02-25)25 February 1997 (aged 25),8,4,Nagoya Grampus
25,4FW,Daizen Maeda,(1997-10-20)20 October 1997 (aged 25),8,1,Celtic
26,2DF,Hiroki Ito,(1999-05-12)12 May 1999 (aged 23),6,0,VfB Stuttgart
,,,,,,
TEAM : Spain,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Robert Sánchez,(1997-11-18)18 November 1997 (aged 25),2,0,Brighton & Hove Albion
2,2DF,César Azpilicueta,(1989-08-28)28 August 1989 (aged 33),42,1,Chelsea
3,2DF,Eric García,(2001-01-09)9 January 2001 (aged 21),19,0,Barcelona
4,2DF,Pau Torres,(1997-01-16)16 January 1997 (aged 25),22,1,Villarreal
5,3MF,Sergio Busquets*(captain)*,(1988-07-16)16 July 1988 (aged 34),139,2,Barcelona
6,3MF,Marcos Llorente,(1995-01-30)30 January 1995 (aged 27),17,0,Atlético Madrid
7,4FW,Álvaro Morata,(1992-10-23)23 October 1992 (aged 30),57,27,Atlético Madrid
8,3MF,Koke,(1992-01-08)8 January 1992 (aged 30),68,0,Atlético Madrid
9,3MF,Gavi,(2004-08-05)5 August 2004 (aged 18),13,2,Barcelona
10,4FW,Marco Asensio,(1996-01-21)21 January 1996 (aged 26),31,1,Real Madrid
11,4FW,Ferran Torres,(2000-02-29)29 February 2000 (aged 22),31,13,Barcelona
12,4FW,Nico Williams,(2002-07-12)12 July 2002 (aged 20),3,1,Athletic Bilbao
13,1GK,David Raya,(1995-09-15)15 September 1995 (aged 27),2,0,Brentford
14,2DF,Alejandro Balde,(2003-10-18)18 October 2003 (aged 19),0,0,Barcelona
15,2DF,Hugo Guillamón,(2000-01-31)31 January 2000 (aged 22),3,1,Valencia
16,3MF,Rodri,(1996-06-22)22 June 1996 (aged 26),35,1,Manchester City
17,4FW,Yeremy Pino,(2002-10-20)20 October 2002 (aged 20),7,1,Villarreal
18,2DF,Jordi Alba,(1989-03-21)21 March 1989 (aged 33),87,9,Barcelona
19,3MF,Carlos Soler,(1997-01-02)2 January 1997 (aged 25),12,3,Paris Saint-Germain
20,2DF,Dani Carvajal,(1992-01-11)11 January 1992 (aged 30),31,0,Real Madrid
21,4FW,Dani Olmo,(1998-05-07)7 May 1998 (aged 24),25,4,RB Leipzig
22,4FW,Pablo Sarabia,(1992-05-11)11 May 1992 (aged 30),25,9,Paris Saint-Germain
23,1GK,Unai Simón,(1997-06-11)11 June 1997 (aged 25),27,0,Athletic Bilbao
24,2DF,Aymeric Laporte,(1994-05-27)27 May 1994 (aged 28),16,1,Manchester City
25,4FW,Ansu Fati,(2002-10-31)31 October 2002 (aged 20),5,2,Barcelona
26,3MF,Pedri,(2002-11-25)25 November 2002 (aged 19),14,0,Barcelona
,,,,,,
TEAM : Belgium,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Thibaut Courtois,(1992-05-11)11 May 1992 (aged 30),97,0,Real Madrid
2,2DF,Toby Alderweireld,(1989-03-02)2 March 1989 (aged 33),124,5,Antwerp
3,2DF,Arthur Theate,(2000-05-25)25 May 2000 (aged 22),4,0,Rennes
4,2DF,Wout Faes,(1998-04-03)3 April 1998 (aged 24),1,0,Leicester City
5,2DF,Jan Vertonghen,(1987-04-24)24 April 1987 (aged 35),142,9,Anderlecht
6,3MF,Axel Witsel,(1989-01-12)12 January 1989 (aged 33),127,12,Atlético Madrid
7,3MF,Kevin De Bruyne,(1991-06-28)28 June 1991 (aged 31),94,25,Manchester City
8,3MF,Youri Tielemans,(1997-05-07)7 May 1997 (aged 25),55,5,Leicester City
9,4FW,Romelu Lukaku,(1993-05-13)13 May 1993 (aged 29),102,68,Internazionale
10,4FW,Eden Hazard*(captain)*,(1991-01-07)7 January 1991 (aged 31),123,33,Real Madrid
11,4FW,Yannick Carrasco,(1993-09-04)4 September 1993 (aged 29),60,8,Atlético Madrid
12,1GK,Simon Mignolet,(1988-03-06)6 March 1988 (aged 34),35,0,Club Brugge
13,1GK,Koen Casteels,(1992-06-25)25 June 1992 (aged 30),4,0,VfL Wolfsburg
14,4FW,Dries Mertens,(1987-05-06)6 May 1987 (aged 35),107,21,Galatasaray
15,3MF,Thomas Meunier,(1991-09-12)12 September 1991 (aged 31),59,8,Borussia Dortmund
16,3MF,Thorgan Hazard,(1993-03-29)29 March 1993 (aged 29),45,9,Borussia Dortmund
17,4FW,Leandro Trossard,(1994-12-04)4 December 1994 (aged 27),21,5,Brighton & Hove Albion
18,3MF,Amadou Onana,(2001-08-16)16 August 2001 (aged 21),2,0,Everton
19,2DF,Leander Dendoncker,(1995-04-15)15 April 1995 (aged 27),29,1,Aston Villa
20,3MF,Hans Vanaken,(1992-08-24)24 August 1992 (aged 30),23,5,Club Brugge
21,3MF,Timothy Castagne,(1995-12-05)5 December 1995 (aged 26),26,2,Leicester City
22,4FW,Charles De Ketelaere,(2001-03-10)10 March 2001 (aged 21),10,1,Milan
23,4FW,Michy Batshuayi,(1993-10-02)2 October 1993 (aged 29),48,26,Fenerbahçe
24,4FW,Loïs Openda,(2000-02-16)16 February 2000 (aged 22),5,2,Lens
25,4FW,Jérémy Doku,(2002-05-27)27 May 2002 (aged 20),11,2,Rennes
26,2DF,Zeno Debast,(2003-10-24)24 October 2003 (aged 19),3,0,Anderlecht
,,,,,,
TEAM : Canada,,,,,,
,,,,,,
No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,1GK,Dayne St. Clair,(1997-05-09)9 May 1997 (aged 25),2,0,Minnesota United FC
2,2DF,Alistair Johnston,(1998-10-08)8 October 1998 (aged 24),30,1,CF Montréal
3,2DF,Sam Adekugbe,(1995-01-16)16 January 1995 (aged 27),34,1,Hatayspor
4,2DF,Kamal Miller,(1997-05-16)16 May 1997 (aged 25),29,0,CF Montréal
5,2DF,Steven Vitória,(1987-01-11)11 January 1987 (aged 35),35,4,Chaves
6,3MF,Samuel Piette,(1994-11-12)12 November 1994 (aged 28),66,0,CF Montréal
7,3MF,Stephen Eustáquio,(1996-12-21)21 December 1996 (aged 25),26,3,Porto
8,3MF,Liam Fraser,(1998-02-13)13 February 1998 (aged 24),15,0,Deinze
9,4FW,Lucas Cavallini,(1992-12-28)28 December 1992 (aged 29),34,18,Vancouver Whitecaps FC
